param,scenario,simulation,peak_coeff,name,n_groups,size,intro_n,r0,delta,est,lower_ci,upper_ci,bias,is_within_ci,significant_delta,significant_est,successes,trials
Delta,"BASE - Delta: 10, 1/10 ",6,1,B,2,50,1,2,-0.818181818181818,-1,-1,-0.0814837471201992,0.181818181818182,TRUE,TRUE,TRUE,0,6
Delta,"BASE - Delta: 10, 1/10 ",7,0.7,A,2,50,1,2,0.818181818181818,1,-1,1,-0.181818181818182,TRUE,TRUE,FALSE,9,9
Delta,"BASE - Delta: 10, 1/10 ",7,0.7,B,2,50,1,2,-0.818181818181818,1,1,1,-1.81818181818182,FALSE,TRUE,TRUE,,
Delta,"BASE - Delta: 10, 1/10 ",7,0.8,A,2,50,1,2,0.818181818181818,1,-1,1,-0.181818181818182,TRUE,TRUE,FALSE,10,10
Delta,"BASE - Delta: 10, 1/10 ",7,0.8,B,2,50,1,2,-0.818181818181818,1,-0.95,1,-1.81818181818182,TRUE,TRUE,FALSE,1,1
Delta,"BASE - Delta: 10, 1/10 ",7,0.9,A,2,50,1,2,0.818181818181818,-1,-1,-1,1.81818181818182,FALSE,TRUE,TRUE,15,16
Delta,"BASE - Delta: 10, 1/10 ",7,0.9,B,2,50,1,2,-0.818181818181818,1,-0.95,1,-1.81818181818182,TRUE,TRUE,FALSE,1,1
Delta,"BASE - Delta: 10, 1/10 ",7,1,A,2,50,1,2,0.818181818181818,0.894736842105263,0.479438691609572,0.997336742391641,-0.0765550239234448,TRUE,TRUE,TRUE,18,19
Delta,"BASE - Delta: 10, 1/10 ",7,1,B,2,50,1,2,-0.818181818181818,-0.2,-0.894510098947366,0.706734400730654,-0.618181818181818,TRUE,TRUE,FALSE,2,5
Delta,"BASE - Delta: 10, 1/10 ",8,0.7,A,2,50,1,2,0.818181818181818,1,0.0814837471201992,1,-0.181818181818182,TRUE,TRUE,TRUE,6,6
Delta,"BASE - Delta: 10, 1/10 ",8,0.7,B,2,50,1,2,-0.818181818181818,-1,-1,0.95,0.181818181818182,TRUE,TRUE,FALSE,0,1
Delta,"BASE - Delta: 10, 1/10 ",8,0.8,A,2,50,1,2,0.818181818181818,0.75,-0.0530193417504132,0.993680552937496,0.0681818181818182,TRUE,TRUE,FALSE,7,8
Delta,"BASE - Delta: 10, 1/10 ",8,0.8,B,2,50,1,2,-0.818181818181818,-1,-1,0.95,0.181818181818182,TRUE,TRUE,FALSE,0,1
Delta,"BASE - Delta: 10, 1/10 ",8,0.9,A,2,50,1,2,0.818181818181818,0.6,-0.112190924615283,0.949578547346333,0.218181818181818,TRUE,TRUE,FALSE,8,10
Delta,"BASE - Delta: 10, 1/10 ",8,0.9,B,2,50,1,2,-0.818181818181818,-1,-1,0.95,0.181818181818182,TRUE,TRUE,FALSE,0,1
Delta,"BASE - Delta: 10, 1/10 ",8,1,A,2,50,1,2,0.818181818181818,0.75,0.233047526301473,0.968972792369172,0.0681818181818182,TRUE,TRUE,TRUE,14,16
Delta,"BASE - Delta: 10, 1/10 ",8,1,B,2,50,1,2,-0.818181818181818,-1,-1,0.95,0.181818181818182,TRUE,TRUE,FALSE,0,1
Delta,"BASE - Delta: 10, 1/10 ",9,0.7,A,2,50,1,2,0.818181818181818,0.666666666666667,-0.28246915799535,0.991578510971021,0.151515151515152,TRUE,TRUE,FALSE,5,6
Delta,"BASE - Delta: 10, 1/10 ",9,0.7,B,2,50,1,2,-0.818181818181818,-1,-1,0.204729271232949,0.181818181818182,TRUE,TRUE,FALSE,0,4
Delta,"BASE - Delta: 10, 1/10 ",9,0.8,A,2,50,1,2,0.818181818181818,0.6,-0.112190924615283,0.949578547346333,0.218181818181818,TRUE,TRUE,FALSE,8,10
Delta,"BASE - Delta: 10, 1/10 ",9,0.8,B,2,50,1,2,-0.818181818181818,-1,-1,0.0436475002099628,0.181818181818182,TRUE,TRUE,FALSE,0,5
Delta,"BASE - Delta: 10, 1/10 ",9,0.9,A,2,50,1,2,0.818181818181818,0.666666666666667,0.0317245026280659,0.958274949079815,0.151515151515152,TRUE,TRUE,TRUE,10,12
Delta,"BASE - Delta: 10, 1/10 ",9,0.9,B,2,50,1,2,-0.818181818181818,-1,-1,0.0436475002099628,0.181818181818182,TRUE,TRUE,FALSE,0,5
Delta,"BASE - Delta: 10, 1/10 ",9,1,A,2,50,1,2,0.818181818181818,0.733333333333333,0.190794606793256,0.966848173119833,0.0848484848484848,TRUE,TRUE,TRUE,13,15
Delta,"BASE - Delta: 10, 1/10 ",9,1,B,2,50,1,2,-0.818181818181818,-0.777777777777778,-0.994381726506802,-0.035006970165326,-0.0404040404040403,TRUE,TRUE,TRUE,1,9
Delta,"BASE - Delta: 10, 1/10 ",10,0.7,A,2,50,1,2,0.818181818181818,1,-1,1,-0.181818181818182,TRUE,TRUE,FALSE,10,10
Delta,"BASE - Delta: 10, 1/10 ",10,0.7,B,2,50,1,2,-0.818181818181818,1,1,1,-1.81818181818182,FALSE,TRUE,TRUE,,
