name,peak_coeff,est,lower_ci,upper_ci,successes,trials,scenario,simulation
A,1,-1,-1,-1,16,17,"BASE - Delta: 10, 1/10 ",17
B,1,1,1,1,,,"BASE - Delta: 10, 1/10 ",17
A,0.7,1,-0.0436475002099628,1,5,5,"BASE - Delta: 10, 1/10 ",18
B,0.7,-0.5,-0.98738107358058,0.611759100633513,1,4,"BASE - Delta: 10, 1/10 ",18
A,0.8,1,0.0814837471201992,1,6,6,"BASE - Delta: 10, 1/10 ",18
B,0.8,-0.5,-0.98738107358058,0.611759100633513,1,4,"BASE - Delta: 10, 1/10 ",18
A,0.9,1,0.327465766240114,1,9,9,"BASE - Delta: 10, 1/10 ",18
B,0.9,-0.5,-0.98738107358058,0.611759100633513,1,4,"BASE - Delta: 10, 1/10 ",18
A,1,1,0.470703061205898,1,12,12,"BASE - Delta: 10, 1/10 ",18
B,1,-0.5,-0.98738107358058,0.611759100633513,1,4,"BASE - Delta: 10, 1/10 ",18
A,0.7,1,-0.415196452357427,1,3,3,"BASE - Delta: 10, 1/10 ",19
B,0.7,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",19
A,0.8,1,0.261166704894362,1,8,8,"BASE - Delta: 10, 1/10 ",19
B,0.8,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",19
A,0.9,0.846153846153846,0.279405129464245,0.996108743005307,12,13,"BASE - Delta: 10, 1/10 ",19
B,0.9,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",19
A,1,0.777777777777778,0.305759122782656,0.972497568671271,16,18,"BASE - Delta: 10, 1/10 ",19
B,1,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",19
A,0.7,0.6,-0.432835872236179,0.989898473241064,4,5,"BASE - Delta: 10, 1/10 ",20
B,0.7,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",20
A,0.8,0.428571428571429,-0.419158272525315,0.926614867647829,5,7,"BASE - Delta: 10, 1/10 ",20
B,0.8,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",20
A,0.9,0.5,-0.047541639792255,0.854675923494236,12,16,"BASE - Delta: 10, 1/10 ",20
B,0.9,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",20
